[0.00s -> 2.30s]  three, two, four.
[302.76s -> 304.32s]  It's the first time we're going through this.
[304.32s -> 306.88s]  And I think we're going to have some bumps in the road
[306.88s -> 309.08s]  as already demonstrated.
[309.08s -> 311.64s]  This is the first virtual meeting of the board of finance
[311.64s -> 313.28s]  on a way we're kind of making history.
[313.28s -> 315.84s]  So there's points.
[315.84s -> 319.00s]  Not far the largest.
[319.00s -> 321.52s]  And so at this point, we enter on the agenda
[321.52s -> 324.36s]  the segment for public comment.
[324.36s -> 327.52s]  So then I would ask the people who have a phone
[327.52s -> 330.76s]  to use the star 9 functionality
[330.76s -> 335.12s]  and the folks who are in whom to use the raise your hand
[335.12s -> 338.76s]  functionality and Dion will recognize you for comment.
[338.96s -> 339.96s]  Yeah.
[342.76s -> 348.20s]  So at this point, turning it over to you, Dion.
[348.20s -> 356.16s]  So if Brad cults, if you, I'm going to unmute.
[356.16s -> 359.84s]  OK, Brad, are you there?
[359.84s -> 360.80s]  Can you hear me?
[360.80s -> 362.96s]  Yes, I can hear you.
[362.96s -> 366.00s]  And just one other thing I will need for you
[366.00s -> 371.64s]  to give me your name and your address.
[371.64s -> 376.24s]  Brad cults, one fair child drive Bethel.
[376.24s -> 378.76s]  Thank you.
[378.76s -> 380.88s]  Thank you.
[380.88s -> 384.68s]  I have two comments to share.
[384.68s -> 389.24s]  One, I wanted to share that the Bethel Business Network.
[389.24s -> 391.00s]  We had an informal survey.
[391.00s -> 395.32s]  We've got about 117 members now.
[395.32s -> 399.32s]  100% of the roughly 25% of our members
[399.32s -> 404.20s]  that shared either by phone or email their opinions.
[404.20s -> 408.44s]  100% of the business members that we were able to survey
[408.44s -> 413.84s]  oppose an increase in the mill rate for this fiscal year.
[413.84s -> 416.84s]  I just want to point out that the business community
[416.84s -> 421.00s]  is especially hard to hit, whether it's a restaurant
[421.00s -> 423.60s]  who has lost all of their dining revenue,
[423.60s -> 427.56s]  businesses that have had to close, but still have rent,
[427.56s -> 429.64s]  and other expenses.
[429.64s -> 432.16s]  These folks are deeply hurt.
[432.16s -> 435.28s]  And the fact that there's some low-cost loans and things
[435.28s -> 437.76s]  available does not mean they're going
[437.76s -> 439.40s]  to survive this crisis.
[439.40s -> 444.08s]  So there was a very deep sentiment about that.
[444.08s -> 445.44s]  I also want to point out that there
[445.44s -> 449.28s]  is a fair amount of confusion that came out
[449.28s -> 452.20s]  during many of these conversations.
[452.20s -> 455.00s]  Many folks have not read the entire budget.
[455.00s -> 458.32s]  I know it's a shock to everybody on the board.
[458.32s -> 462.12s]  There is a general misconception,
[462.12s -> 465.28s]  based on a lot of social media chat, I believe,
[465.28s -> 469.64s]  that the current budget with this, the proposed increase
[469.64s -> 473.64s]  that came out from your last formal meeting
[473.64s -> 475.52s]  where you were going to present that,
[475.52s -> 479.60s]  I believe, to the town for town meeting,
[479.60s -> 484.68s]  that that projected increase included funds for,
[484.68s -> 488.08s]  and earmarked for COVID-specific services,
[488.08s -> 490.68s]  and it's my understanding that it doesn't.
[490.68s -> 493.68s]  So I was going to hope that someone on the board,
[493.68s -> 496.08s]  at some point, could speak to that.
[496.08s -> 499.08s]  And I just want to share switching years
[499.08s -> 502.24s]  that on a personal level, it's my hope
[502.24s -> 505.00s]  that the board will sharpen their pencils,
[505.00s -> 508.00s]  realizing the deep devastation that's already happening,
[508.16s -> 511.00s]  and I think we're only midway through this crisis
[511.00s -> 515.48s]  and actually find the ability to actually cut
[515.48s -> 519.16s]  this budget from the current year rather than increase it.
[519.16s -> 520.92s]  So those are my comments,
[520.92s -> 523.08s]  and I appreciate the opportunity to share them.
[523.08s -> 527.28s]  And I have to say, having done a number of these over the years,
[527.28s -> 529.64s]  this is actually off to a pretty good start, Bob.
[529.64s -> 530.80s]  So thank you.
[531.88s -> 532.72s]  Brad, thank you.
[534.40s -> 536.48s]  Let me just answer the question
[536.48s -> 538.32s]  regarding the COVID-19 expenses.
[538.32s -> 541.28s]  Should someone else in the queue have the same question?
[541.28s -> 544.56s]  The budget that this board of finance put together,
[544.56s -> 547.76s]  and I'll go through, I'll recap kind of the process
[547.76s -> 549.96s]  that we went through and how we got to today,
[549.96s -> 553.20s]  but the budget that this board of finance
[553.20s -> 556.04s]  looked at last for purposes of bringing to the public,
[556.04s -> 558.00s]  hearing for further public input,
[558.00s -> 560.80s]  did not include COVID-19 expenses.
[561.72s -> 564.00s]  It was a, that budget,
[564.00s -> 566.68s]  that proposal was a pre-COVID-19 world budget.
[566.68s -> 569.04s]  Hello, this is Gil, am I in the right meeting?
[570.80s -> 574.00s]  Gil, no, I think you want the public site.
[575.24s -> 576.08s]  Check your e.
[576.08s -> 579.96s]  I'm in, I'm in, I can't get there.
[581.80s -> 582.80s]  This is the first day of the meeting.
[582.80s -> 584.08s]  You are more than welcome.
[585.88s -> 587.20s]  Thank you very much, Poetite.
[587.20s -> 588.20s]  I'd like to be in the meeting
[588.20s -> 590.52s]  and I'm supposed to be all hang up and try again.
[594.52s -> 595.36s]  Next.
[601.64s -> 603.92s]  Thank you for clearing that up, Bob.
[603.92s -> 604.92s]  Certainly, thank you.
[607.44s -> 609.44s]  Okay, Billy Michaels.
[610.44s -> 611.44s]  In my life.
[612.84s -> 613.84s]  Can you hear me?
[613.84s -> 614.84s]  That's right.
[614.84s -> 615.84s]  Manate yourself.
[615.84s -> 617.00s]  This is Stephanie's friend.
[617.00s -> 617.84s]  All right, Billy.
[617.84s -> 618.36s]  No, no.
[618.36s -> 619.84s]  Yeah, there have to unmute something.
[619.84s -> 620.64s]  It's not possible.
[620.64s -> 621.92s]  No, we can hear you.
[621.92s -> 622.92s]  Okay.
[622.92s -> 623.92s]  Okay.
[624.56s -> 626.32s]  Big, big, cut.
[626.32s -> 627.36s]  I'll sign it.
[627.36s -> 628.36s]  Every single time.
[628.36s -> 630.24s]  I'm sorry, but he's opening him off.
[630.24s -> 632.72s]  If you're not the speaker, could you
[632.72s -> 633.96s]  come over please?
[634.96s -> 635.88s]  Board of Finance.
[637.12s -> 638.32s]  Because of the voices.
[638.32s -> 639.84s]  I'm voted that the board of finance
[639.84s -> 641.40s]  can set the board of head meeting.
[642.40s -> 643.40s]  Excuse me.
[643.40s -> 645.00s]  Yeah, I don't know whose voice that is.
[645.00s -> 646.20s]  I don't either.
[646.96s -> 648.44s]  The functionality is working.
[648.44s -> 649.72s]  It's a Michelle.
[650.44s -> 652.28s]  Oh, man.
[652.28s -> 653.28s]  Michelle, thank you.
[653.28s -> 654.76s]  I think you can mute your phone.
[654.76s -> 655.76s]  Well,
[663.24s -> 664.56s]  tell me when I'm ready.
[664.56s -> 665.64s]  You're ready.
[665.64s -> 667.48s]  Okay, Billy Michael 27 and a half
[667.48s -> 668.68s]  Fleetwood Avenue.
[668.68s -> 671.40s]  Mr. Manfried has started this meeting,
[671.40s -> 673.96s]  this nightmare of a meeting as far as
[673.96s -> 675.36s]  citizen participation goes.
[676.76s -> 679.68s]  He starts with the the pledge of allegiance.
[679.68s -> 682.32s]  Incentral to that pledge of allegiance
[682.32s -> 684.64s]  is the consent of the governed.
[684.64s -> 687.36s]  And this budget process denying the citizens
[687.36s -> 689.88s]  a right to vote on this budget.
[689.88s -> 693.12s]  And to have seven people on a board of finance decide,
[693.12s -> 694.60s]  I don't know how many people on the board
[694.60s -> 697.16s]  of the seven people lost their jobs.
[697.16s -> 700.72s]  But everything that I have read from anybody
[700.72s -> 703.28s]  with a budget in this town that constructs a budget,
[703.28s -> 704.84s]  they have jobs.
[704.84s -> 709.64s]  Everybody that has a job is lobbying the board of finance
[709.80s -> 712.36s]  who I'm assuming have jobs to raise taxes
[712.36s -> 714.52s]  are people that don't have jobs.
[714.52s -> 717.32s]  I know one person in town, a 20,000 people
[717.32s -> 718.76s]  that has the virus.
[718.76s -> 722.76s]  I know hundreds of people that are out of work,
[722.76s -> 725.44s]  hundreds of people that are out of work.
[725.44s -> 730.44s]  And we are going to raise taxes on them without a referendum.
[730.80s -> 732.32s]  And there's no pushback.
[732.32s -> 737.32s]  There's 82 towns with budget referendum.
[737.60s -> 739.00s]  And there's no crime.
[739.00s -> 741.12s]  Where's the people pushing back against the decree
[741.12s -> 745.44s]  that robs us of our most fundamental freedom?
[745.44s -> 750.60s]  I see this as a complete exploitation of our citizens' rights
[750.60s -> 754.92s]  because of this medical emergency, this decree.
[754.92s -> 758.52s]  So I think that we should have an uprising
[758.52s -> 761.28s]  to push the decision back.
[761.28s -> 763.04s]  We have all the way to June 30th.
[763.04s -> 765.40s]  I don't know why this rush.
[765.40s -> 768.28s]  Every time there's a rush in this town,
[768.28s -> 769.88s]  I get suspicious.
[769.88s -> 773.88s]  There was a rush to get the aquarium water pass.
[773.88s -> 775.08s]  Fast, let's get this done.
[775.08s -> 776.76s]  Let's get this to a referendum.
[776.76s -> 778.84s]  I don't think we need time.
[778.84s -> 780.88s]  I think things are going to change over time.
[780.88s -> 783.24s]  So I'm against this whole process
[783.24s -> 785.36s]  that rushes this process into May.
[785.36s -> 786.40s]  We have plenty of time.
[786.40s -> 789.00s]  I remember 1998, we had six referendums.
[789.00s -> 791.92s]  We were voting in August and the town didn't stop.
[791.92s -> 795.16s]  And people had the right to vote on a budget.
[795.16s -> 798.24s]  We did not lose our basic fundamental freedoms.
[798.52s -> 800.12s]  And I'll remember another day,
[800.12s -> 804.12s]  there was a year in 1992, we had three or four referendums.
[804.12s -> 806.28s]  And this has got to do with part of the budget.
[806.28s -> 808.12s]  We have people that are out of work.
[808.12s -> 810.16s]  We have people that are going to lose their ability
[810.16s -> 812.52s]  to pay their rent, pay their mortgages.
[812.52s -> 816.56s]  They're going to be like this critical chaos in their life.
[816.56s -> 819.00s]  And in our budget, everybody's getting raises.
[819.00s -> 823.64s]  In the schools, we got $188,000 worth of raises
[823.64s -> 825.92s]  for 17 school administrators.
[825.92s -> 828.40s]  The reason I brought up the early 1990s
[828.40s -> 830.84s]  was when Darlin O'Connor was the head
[830.84s -> 833.72s]  of the Board of Education facing three referendums.
[833.72s -> 839.28s]  The school administrators voluntarily took out their increases.
[839.28s -> 841.32s]  And this is a time to do it now.
[841.32s -> 843.36s]  To go back to the school administration.
[843.36s -> 845.36s]  Where's all this inequality of income?
[845.36s -> 848.44s]  The people, the where are all vessels?
[848.44s -> 850.68s]  Occupied Wall Street supporters.
[850.68s -> 853.56s]  This is the 1% versus the 99%.
[853.56s -> 857.72s]  How can this budget, a 3 1 1% tax increase,
[857.72s -> 860.32s]  be placed on people who have lost their jobs,
[860.32s -> 865.20s]  give raises to people making $150,000?
[865.20s -> 869.84s]  The immorality of this, in every single aspect
[869.84s -> 873.32s]  of this event, grows government.
[873.32s -> 875.96s]  Everything, we need money because the grand list grows.
[875.96s -> 876.76s]  The grand list is growing.
[876.76s -> 879.04s]  Just to help people, oh wait, the grand list is growing.
[879.04s -> 880.96s]  We need more people in the building department.
[880.96s -> 882.72s]  We need people for the inspectors.
[882.76s -> 884.88s]  We need people, we need people, we need people.
[884.88s -> 887.00s]  Okay, then we have trouble
[887.00s -> 888.08s]  because people don't have money.
[888.08s -> 890.12s]  So we need more social services.
[890.12s -> 892.72s]  There is no, we have the kids out of school.
[892.72s -> 893.80s]  No one goes to school.
[893.80s -> 895.80s]  We need more money for distance learning.
[895.80s -> 898.04s]  Everything is seized as an opportunity
[898.04s -> 900.92s]  to grow and spend money by the government.
[900.92s -> 903.88s]  So you're a lot of people queuing up.
[903.88s -> 905.80s]  I've spoken my piece.
[905.80s -> 908.12s]  I'm against the spending.
[908.12s -> 909.72s]  I'm against the tax increase.
[909.72s -> 911.12s]  I'm against this.
[911.12s -> 914.40s]  The process of denying the people the right to vote.
[914.40s -> 916.56s]  And for this Board of Finance to be known
[916.56s -> 919.24s]  is the one in history that implements
[919.24s -> 924.04s]  a mill rate increase without the consent of the people
[924.04s -> 927.72s]  they are sworn to serve is just appalling to me.
[927.72s -> 929.88s]  Thank you for your time, Board of Finance.
[930.80s -> 932.28s]  Thank you.
[932.28s -> 933.40s]  Beyond that.
[933.40s -> 935.52s]  Yes, Bill Hillman.
[935.52s -> 939.36s]  Hi, thank you, Bill Hillman 86 Walnut Hill Road.
[939.36s -> 941.12s]  I had sent some correspondence.
[941.12s -> 943.08s]  You can read that on your own.
[943.08s -> 945.08s]  The main gist of that correspondence
[945.08s -> 947.40s]  echoes what Brad Cole said, which
[947.40s -> 951.32s]  is a zero increase to the mill rate.
[951.32s -> 954.44s]  Echoing everything that's been said so far,
[954.44s -> 956.60s]  people in this town are hurting.
[956.60s -> 960.80s]  Seriously, my wife is on unemployment.
[960.80s -> 964.00s]  I don't know of any person that doesn't have at least one
[964.00s -> 968.36s]  if not all wage earners on unemployment or hurting right now.
[968.36s -> 971.08s]  And it would be unconscionable for the town
[971.08s -> 974.60s]  to impose a raise, especially without a referendum
[974.60s -> 975.88s]  at this point.
[975.88s -> 978.76s]  Now, there's also some priorities.
[978.76s -> 982.68s]  Public safety is going to have to be a priority
[982.68s -> 984.44s]  for a number of months.
[984.44s -> 987.28s]  This peak that we're about to pass
[987.28s -> 989.72s]  doesn't mean that we're out of the woods.
[989.72s -> 991.68s]  So I know that the Board of Finance
[991.68s -> 994.68s]  has approved one additional headcount
[994.68s -> 996.16s]  for the police department.
[996.16s -> 1000.12s]  I know that Captain Pugner has requested two.
[1000.12s -> 1003.04s]  If there is to be an increase, it has
[1003.04s -> 1004.60s]  to be a zero sum game.
[1004.60s -> 1008.16s]  And the funding for that has to come from someplace else.
[1008.16s -> 1012.20s]  Add to that what would be over $1 million in cuts
[1012.20s -> 1016.08s]  to enable a zero change in the mill rate,
[1016.08s -> 1018.08s]  I think that's necessary.
[1018.08s -> 1020.92s]  And I understand it means that some town services
[1020.92s -> 1022.76s]  may have to be reduced.
[1022.76s -> 1025.04s]  Perhaps hours are reduced.
[1025.04s -> 1029.24s]  Perhaps wages and staff will need to be reduced.
[1029.24s -> 1034.04s]  Just like the families of most of Bethel are already reduced.
[1034.04s -> 1038.44s]  The Board of Finance meets to account for that.
[1038.44s -> 1042.56s]  One way to do it is to just pass last year's budgets forward
[1042.56s -> 1045.52s]  again, but that would also be irresponsible.
[1045.52s -> 1048.36s]  So I'd ask you to do everything that you can.
[1048.36s -> 1050.44s]  There are some members of the Board of Finance
[1050.44s -> 1053.56s]  who will later be proposing certain ideas
[1053.56s -> 1058.52s]  that in fact can achieve a zero increase to the mill rate.
[1058.52s -> 1062.00s]  I would ask that the majority listen very carefully
[1062.00s -> 1064.68s]  to the minority who will propose that,
[1064.68s -> 1068.56s]  and seriously consider any and all actions
[1068.56s -> 1071.12s]  that can keep the mill rate changed to zero.
[1071.12s -> 1072.88s]  Thank you.
[1072.88s -> 1075.20s]  Thank you.
[1075.20s -> 1076.12s]  Courtney Martin.
[1078.60s -> 1080.24s]  Oh, wait one second.
[1080.24s -> 1080.76s]  There you go.
[1083.56s -> 1087.24s]  All right, Courtney Martin, 38, Star Lane.
[1087.24s -> 1088.64s]  I'd first like to address the fact
[1088.64s -> 1092.28s]  that I am speaking to you tonight, not as a Board of Ed member,
[1092.28s -> 1095.84s]  but as a parent of three children in three separate schools
[1095.84s -> 1099.88s]  who are all currently receiving online distance learning.
[1099.88s -> 1102.00s]  Although I would like to commend the teachers,
[1102.00s -> 1104.36s]  the administrators and staff for the phenomenal job
[1104.36s -> 1108.60s]  they are doing with the limited resources that they have,
[1108.60s -> 1111.36s]  and their ability to put together an online program
[1111.36s -> 1113.24s]  as quickly as they did.
[1113.24s -> 1115.88s]  They should be commended for their efforts.
[1115.88s -> 1118.28s]  However, the honest and unfortunate truth
[1118.28s -> 1120.20s]  is that online distance learning
[1120.20s -> 1123.44s]  does not replace classroom instruction.
[1123.44s -> 1127.04s]  The real issue we are faced with is come September.
[1127.04s -> 1132.04s]  Every student will be behind in one way or another.
[1132.56s -> 1136.72s]  The question is how far behind are you willing to let them get?
[1138.32s -> 1140.92s]  It comes to a point where it's going to be impossible
[1140.92s -> 1142.44s]  for them to recover.
[1142.44s -> 1145.44s]  By reducing the funding that was proposed,
[1145.44s -> 1148.68s]  you will quite frankly be setting our children up for failure.
[1149.92s -> 1152.72s]  Before distance learning, we were already short staffed
[1152.72s -> 1156.00s]  on teachers, support staff, and interventionists.
[1156.00s -> 1157.64s]  By reducing the proposed budget,
[1157.64s -> 1160.60s]  you are not only further limiting the resources,
[1160.60s -> 1162.44s]  but hindering our ability to recover
[1162.44s -> 1164.80s]  from all the learning that was lost.
[1164.80s -> 1167.12s]  Future budgets will be affected
[1167.12s -> 1169.24s]  because more and more interventionists will be needed
[1169.24s -> 1172.24s]  to service the students who didn't need it before,
[1172.24s -> 1174.72s]  but they now can't catch up.
[1174.72s -> 1177.12s]  If class size increases further strain
[1177.12s -> 1178.52s]  will be put on the teachers
[1178.52s -> 1180.64s]  who will not only have the ability to make sure
[1180.64s -> 1183.92s]  that all children are where they need to be.
[1183.92s -> 1188.52s]  This possible reduction is extremely short-sighted.
[1188.52s -> 1190.32s]  If anything, we should be allocating
[1190.32s -> 1192.56s]  as many resources as possible
[1192.56s -> 1195.88s]  into the schools that make sure these kids don't fail.
[1195.88s -> 1198.48s]  Because if we aren't prepared when they come back,
[1198.48s -> 1201.60s]  this will not be a one-year issue.
[1201.60s -> 1205.24s]  It will go on and on for years and years.
[1205.24s -> 1208.44s]  And I'm not just talking about the kids who need intervention
[1208.44s -> 1209.44s]  and aren't getting it.
[1209.44s -> 1212.16s]  I'm talking about every single student
[1212.16s -> 1216.36s]  that receives an education from the Bethel Public School.
[1216.36s -> 1218.56s]  We cannot let these children down,
[1218.56s -> 1219.92s]  and because of that, I'm asking you
[1219.92s -> 1221.92s]  to leave the budget as is.
[1221.92s -> 1222.76s]  Thank you.
[1222.76s -> 1232.12s]  Oh, OK.
[1232.12s -> 1232.72s]  I'm sorry.
[1232.72s -> 1233.60s]  Jen Larson.
[1236.88s -> 1238.36s]  Yeah.
[1238.36s -> 1241.72s]  Jen Larson, 128 Gracie Plain Street.
[1241.72s -> 1245.32s]  I'm, again, not speaking as a Board of Education member.
[1245.32s -> 1247.80s]  I am speaking as a private citizen here in Bethel,
[1247.80s -> 1252.20s]  a educator and a parent of multiple children
[1252.20s -> 1254.96s]  who have been through the Bethel school system.
[1254.96s -> 1258.44s]  The Bethel schools have always done a phenomenal job
[1258.44s -> 1260.76s]  with the limited resources they've had.
[1260.76s -> 1265.12s]  They've made do and made do over and over and over again.
[1265.12s -> 1268.40s]  Our numbers of students have increased exponentially,
[1268.40s -> 1271.28s]  and they've still made do.
[1271.28s -> 1273.68s]  This can't go on forever.
[1273.68s -> 1278.56s]  And every year that we make do is actually like a cut
[1278.56s -> 1282.48s]  because you're giving us the same,
[1282.48s -> 1284.72s]  and we're doing more with it.
[1284.72s -> 1288.32s]  So therefore, it's not equal.
[1288.32s -> 1289.88s]  I know that things are hard.
[1289.88s -> 1291.84s]  I know that people are without jobs.
[1291.84s -> 1297.28s]  I understand the difficulty that the position that people are in.
[1297.28s -> 1302.60s]  I do, I have seen it, you know, with my neighbors, with friends,
[1302.60s -> 1305.36s]  with many people in town that they're suffering.
[1305.36s -> 1307.32s]  And I understand that.
[1307.32s -> 1312.00s]  What I'm asking you to do is to keep us at least a status quo budget
[1312.00s -> 1315.84s]  so that we can have exactly the same as we had this year
[1315.84s -> 1320.36s]  and be able to try to make do for one more year
[1320.36s -> 1323.76s]  in regards to the situation that we're in at this time,
[1323.76s -> 1326.72s]  being that we have to be cognizant of our neighbors
[1326.72s -> 1332.80s]  and their situation and that asking for more is a difficult thing.
[1332.80s -> 1336.76s]  But please don't make us do it less.
[1336.76s -> 1339.76s]  As Courtney said, our kids are coming back
[1339.76s -> 1341.68s]  and they're going to be at a deficit.
[1341.68s -> 1346.56s]  So by giving us a deficit, it makes it harder for us to catch up.
[1346.56s -> 1351.52s]  And that makes it extremely difficult for the educators,
[1351.52s -> 1354.92s]  for the parents, and for the students.
[1354.92s -> 1357.04s]  Parents are in way over their heads right now
[1357.04s -> 1361.16s]  and they're desperately seeking help from their teachers.
[1361.16s -> 1364.48s]  I know that I get daily calls from parents
[1364.48s -> 1368.00s]  who are desperate for me to help them in some way
[1368.00s -> 1370.00s]  with their child while they are home with them
[1370.00s -> 1372.96s]  and they're desperately waiting for school to start again.
[1372.96s -> 1376.20s]  And these children are coming to come back with needs,
[1376.20s -> 1378.84s]  needs from trauma that they've faced
[1378.84s -> 1381.00s]  over the time that they've been out,
[1381.00s -> 1384.76s]  losing family members, losing friends, neighbors.
[1385.84s -> 1389.68s]  Children are going to be in trauma from all of this.
[1389.68s -> 1392.40s]  And we need to be able to meet them
[1392.40s -> 1395.16s]  and help them get past that.
[1395.16s -> 1398.84s]  And we can't do that if you cut what we already even have.
[1398.84s -> 1401.64s]  And I'm not even asking for anything new.
[1401.64s -> 1404.72s]  So please keep in mind where we're coming from
[1404.72s -> 1407.92s]  and what we're going to face once we'll start again.
[1407.92s -> 1412.00s]  And keep that in mind when you're deciding what you feel
[1412.00s -> 1414.80s]  the town can afford to give.
[1414.80s -> 1417.16s]  So by asking for that status quo,
[1417.16s -> 1419.52s]  I think I'm just asking us to keep everything the same
[1419.52s -> 1423.32s]  as it is now and meet what we need to meet contractually
[1423.32s -> 1425.32s]  for all of our contracts.
[1425.32s -> 1426.96s]  Thank you.
[1426.96s -> 1427.80s]  Thank you, Jen.
[1429.64s -> 1432.00s]  In the comments section, there's been some people
[1432.00s -> 1437.00s]  that have asked me to write to add them to the comments.
[1437.44s -> 1440.68s]  You'll need to go over to the right hand side
[1440.68s -> 1443.60s]  of your screen where the participants are.
[1443.60s -> 1447.32s]  And at the bottom, there is the option
[1447.32s -> 1449.32s]  for you to raise your hand.
[1450.60s -> 1453.32s]  It's not something that I can do for you.
[1453.32s -> 1454.16s]  Okay?
[1454.16s -> 1457.04s]  So next person is Melanie O'Brien.
[1457.04s -> 1458.36s]  Hope one second.
[1459.80s -> 1461.04s]  I don't know why.
[1461.04s -> 1462.84s]  Let's give them the hard time.
[1462.84s -> 1463.68s]  Come here.
[1469.28s -> 1470.28s]  Okay, there you are.
[1470.28s -> 1471.12s]  I'm good.
[1471.12s -> 1471.96s]  Can you hear me?
[1471.96s -> 1472.80s]  Yes.
[1472.80s -> 1473.32s]  Okay, great.
[1474.32s -> 1477.32s]  Manfreda and all the Board of Finance members
[1477.32s -> 1480.12s]  in order to enter it into the public record,
[1480.12s -> 1482.48s]  I'm going to read a memo from me
[1482.48s -> 1484.40s]  as the chair of the Board of Education
[1484.40s -> 1486.04s]  and the memo from Dr. Carver
[1486.04s -> 1489.88s]  to the Board of Finance and Board of Selectment.
[1489.88s -> 1491.76s]  This information was previously provided
[1491.76s -> 1493.52s]  to the members of both boards,
[1493.52s -> 1495.60s]  but it's not included in the Board of Finance
[1495.60s -> 1498.28s]  meeting materials online.
[1498.28s -> 1499.56s]  It's not Wednesday.
[1499.56s -> 1500.96s]  Yes, I'm so sorry.
[1500.96s -> 1502.84s]  Will you just give me your address?
[1502.84s -> 1503.48s]  Oh, I'm sorry.
[1503.48s -> 1506.08s]  Short 12 cross hill road.
[1506.08s -> 1507.80s]  Obviously, Bethel.
[1507.80s -> 1509.04s]  All right, thank you.
