[0.00s -> 2.00s]  wau, m'hoj.
[984.36s -> 1013.36s]  So again these are daily to weekly chickens by all our teams to make sure we want to be able to access business advice and some of the wage support we've been doing webinars and we've now moved in the last two weeks into workforce redeployment so again we've been taking some organizations or employers that have maybe at least five to ten staff members displaced through to Hoverton who had one of the largest that are around 270 and actually redeploying them and offering them redeployment options into the queue for the industry.
[1014.36s -> 1042.36s]  We placed a hundred and ten staff into Kiwi Fruit with transport from Hoverton as well as the avocado industry which will be the next seasonal workforce will be will be standing up until the end of the year but put staff into supermarkets civil defense security and also they've been providing some services from home but again what we are going to see over the next two weeks we're starting to measure that is the full impact so people that we cannot redeploy that potentially will be out of work.
[1042.36s -> 1052.36s]  So if there's currently a survey underway and will be updating all councils and the government around the overall impact for tourism and white cuts.
[1053.36s -> 1079.36s]  Under the restart phase so again we want to congratulate local government because obviously I'm getting some of those shovel-ready projects through with the Crown Infrastructure Partners for their consideration is a great one for the region but potentially for the sector and pretty much every district has put up around one to two tourism projects as part of shovel-ready so again we do need to focus on the future and how we will restart the region.
[1079.36s -> 1085.36s]  Research we were already in market and about to finish up our domestic perceptions in major research.
[1085.36s -> 1096.36s]  This is now becoming quite timely for us and will help us inform around how we will try and bring back the domestic travelers into the region based on some of the research we've undertaken.
[1097.36s -> 1113.36s]  We're also working on a major in business events restart campaign so that planning has been underway for a couple of weeks so that when we're ready to go we can push go on that we do see events and business events and corporate travel as being the kickstarter we need for economic and social recovery across the region.
[1113.36s -> 1119.36s]  New developments again you've all got new developments going on potentially in your regions.
[1119.36s -> 1129.36s]  We've been in Lake obviously one of your newest hotels in Cambridge and you opened on Christmas Eve so Glenda and the team we've been keeping in touch with quite a lot because they haven't been in operation very long.
[1129.36s -> 1139.36s]  Their impacts are quite severe so again making sure that we still have some future developments that will continue across the region to take us through the next stage.
[1139.36s -> 1149.36s]  Data and insights I've touched on the now going to weekly so again we're sharing that information and to Walker and now we're contributing to the to Walker economic outlook as well which is great.
[1149.36s -> 1160.36s]  And then lastly the mighty local campaign was launched two weeks ago and that's definitely around the restart phase things seem.
[1160.36s -> 1177.36s]  So mighty local again is a partnership with ourselves to Walker all the chambers of commerce so to move to and obviously Cambridge Chamber of Commerce plus the white couple Chamber of Commerce all our councils and the business associations that also exist in some communities and all our regional ice sites.
[1177.36s -> 1188.36s]  We're in phase one so for the last two weeks we've been promoting businesses with contact list delivery promoting you know on people that are still doing entertainment online or virtually from within wire cuts all.
[1188.36s -> 1206.36s]  Recipes from our beloved chefs well being and fitness and this week we launched business stories so again we're starting to use this platform to promote some of the businesses and how they're pivoting into obviously response all looking at different opportunities for their business so the idea is to try and give people hope during phase one.
[1206.36s -> 1215.36s]  During phase two which is obviously from alert level three we will increase our takeaway and even be listings and also essential services are starting to grow as well.
[1215.36s -> 1230.36s]  In phase two we will move more to a local phase at the moment it's a regional platform but the idea is potentially people were able to we're able to group the types of information and services available at a local delivery level and a district level as well.
[1230.36s -> 1259.36s]  And then phase three which has been hopefully all travel restrictions are lifted we will then activate the basically the buy local eat local event local shop visit and explore within the region and obviously that's in partnership with many communities in business associations that already have local programs such as Cambridge with their totally locally Cambridge campaign so we're working with Kelly and the team around how we would try and push via program rather than this one once we get to phase three.
[1260.36s -> 1283.36s]  And when it comes to how we will actually respond long term so at the moment we're in phase one so we're calling it the hyper local phase so one to three months we'll be pushing basically localism everything to do with obviously how you purchase and interact with your local community.
[1283.36s -> 1302.36s]  At phase two which then we'll move into a three to six month bracket we're estimating we can then start to do intra regional travel so we're targeting the drive market within the white hospital region where we hopefully starting to stand up community events again that can happen at a local level in regional business meetings might be able to begin again with social distancing.
[1303.36s -> 1312.36s]  At level three which is what we're planning our scenarios for six to 12 months we can then stand up the domestic market that is when potentially we will mainly focus on drive so.
[1313.36s -> 1331.36s]  As you've heard me say before 2.5 potentially three million people live within three hours radius of the white hospital region including the region itself so we'll definitely be focusing on the drive market national events will be returning as well as national meetings and then eventually corporate travel which again.
[1331.36s -> 1356.36s]  Business are quite a good lead for us with regards to stand up the sector again and then lastly we're planning on one to two years before we actually start to see any sort of international impact again short haul markets into Australia and the Pacific will open first and then we will eventually move back into major events international conferences and starting to bring back the corporate and leisure travel market into white hospital so.
[1356.36s -> 1366.36s]  That's the timeframe we are currently doing our scenario planning for but as we all know it may change every week based on the levels we have.
[1373.36s -> 1385.36s]  And then lastly reimagined so you would have seen that last week or actually two weeks ago as well the government announced that there was a call to reshape and reimagined the tourism industry so we have been pushing for the last two to three months.
[1386.36s -> 1405.36s]  With tourism New Zealand and the Minister for tourism around what we're calling a reimagining of tourism when we now is our chance that this is more than a shock it's actually a bit of a circuit breaker for the sector and for all business sectors for us all to look and see how could we do our businesses differently we all knew that tourism was growing in quite an exponential rate.
[1405.36s -> 1433.36s]  And there were some areas that were really feeling the pressure such as Queenstown and central Otago and Cathedral cove some of our sites Mount Tomoruto so for us now it's great to see the government are taking this seriously so we're now working with tourism New Zealand to lead a new plan domestically and internationally but also look at all these types of questions you know where our previous visit arrivals and expenditure growth right for the region what will success look like for us for the future for a visitor market.
[1433.36s -> 1461.36s]  How do we move our sector from boom and bust again no different to the food and fiber sector or any other business cycle and lastly how do we move to more sustainable community lead tourism and for us on the way cuts of what we call creating net benefit rather than just benefiting those that potentially we're making money out of tourism we want to see communities thrive and that they have the decision around what sort of tourism they want so again we will be moving our 2016 tourism opportunities plan which many of you were involved in.
[1461.36s -> 1489.36s]  We will now be developing a destination management plan and that will be happening nationally as well to try and what we call transform tourism for the better so there is no such word as recovery now we will not be receiving the same sorts of level of tourism as we did previously but neither we might not have the same sort of services and opportunities available in tourism as well post COVID so again it is a good opportunity for us to look at transform in the sector.
[1490.36s -> 1506.36s]  I think same I think we got one more looking lastly just obviously a call I call it to all my love government partners I really appreciate everyone helping to promote your rates relief emissions and installment policies not just for the tourism sector but for all business.
[1506.36s -> 1519.36s]  I think it's great to see you all continue with your resource consent process maybe in a more delayed way but again the liquor and food licensing is going to be more important for us particularly when we try and stand up after level three.
[1519.36s -> 1535.36s]  We still have the regional major event strategy activation so again we are still awaiting some decision from well energy trust about potentially helping to establish a regional major events fund which will actually assist all the districts to be able to bid for major events again.
[1535.36s -> 1561.36s]  And also to attract and build new major events into our shoulders season across the region and then lastly again just to thank you all for your continual funding to support the tourism industry and that would obviously be more important through restart and the reimagined phase and again the point I made earlier we will not be recovering to pre COVID levels for at least two to five years as a sector and as a region.
[1562.36s -> 1565.36s]  That's pretty much it from me.
[1565.36s -> 1568.36s]  So maybe to take any questions.
[1568.36s -> 1579.36s]  Thanks Jason that's a I've got to say that's a fantastic response to what must have been a massive shock to the industry.
[1579.36s -> 1606.36s]  Yeah and of course in white power and probably a lot of white cattle as well domestic tourism sexually a lot bigger than international so we really want to see and as you have in your plan that being that being worked on as soon as it's soon as it becomes a possibility but yeah does anyone have questions just put your hands up I can see you all clear.
[1606.36s -> 1616.36s]  Okay yeah thanks a lot Jason and yeah fantastic if and I think being put in by all your team you know in this situation.
[1616.36s -> 1629.36s]  A couple of questions well the first one was that I noticed that in the regional major event strategy there's a new funding partner mentioned is that the well energy relationship or is it all right.
[1629.36s -> 1631.36s]  Great you said as well energy.
[1631.36s -> 1640.36s]  That's great and the other thing is for your reimagining you know the future of tourism I saw that you had your stakeholders listed.
[1640.36s -> 1649.36s]  I didn't see the department of conservation there not that they are a tourism operator but most of our you know popular destinations.
[1649.36s -> 1673.36s]  Yeah I think a cathedral cove you know they're actually managed by the department and and I just wonder if it would be worthwhile trying to get them sort of around the table so that because I hear that you know they worry about the pressure points that we were experiencing and that you know just having their input you know might be beneficial.
[1673.36s -> 1681.36s]  So look absolutely so you're sorry about that clear the department of conservation are part of that so it's actually a joint tourism New Zealand and doc.
[1681.36s -> 1694.36s]  Review of tourism and it's only because they they both actually contributed to the national tourism out there all strategies so they're definitely part of it we don't obviously have a lot of any national parts but we do still have a lot of crown estate.
[1694.36s -> 1719.36s]  In some of the crown estate in our region are obviously some of our waterfalls and lake areas so again and along our rivers we just they will be engaging in that as well because we did obviously have some opportunities with doc originally before covered sort of developing short walks for the region under the great walks mental so that's some projects that we now have brought forward again to say can we'll dock reconsider moving some of this for the domestic market.
[1719.36s -> 1722.36s]  That sounds fantastic you're welcome.
[1724.36s -> 1727.36s]  We have any other questions Liz.
[1727.36s -> 1731.36s]  Yeah I guess it's just a huge thank you Jason to the support you have.
[1731.36s -> 1741.36s]  Operators you know I've been affected a little myself and the calls that I get from your Tina are a very encouraging it's very that's very certain.
[1741.36s -> 1751.36s]  Just one of the things I just wanted to check in with you on and that's we do have a presentation a little bit later among the township and I see you've also given me some support and that's really great.
[1751.36s -> 1768.36s]  Who are aligned on a lot of the international visitors and I guess it's lucky for us in some ways that there's not that many why power operators that are aligned on international among a township is probably one of them perhaps our eyesight to a certain degree and servicing international guests.
[1768.36s -> 1778.36s]  But other than that do you think that there are any other aspects of why power that are going to be greatly affected with international because it's really where the biggest you know issues are going to be.
[1778.36s -> 1783.36s]  It's mainly going to be the sports sports coach so I think if we can try and get.
[1783.36s -> 1791.36s]  Some of the international sporting events back up and running as soon as possible to pending on travel restrictions they would be the main impact for why power.
[1791.36s -> 1794.36s]  But you are correct look pretty much most of our events which are great.
[1794.36s -> 1801.36s]  And our operators pretty much talk to the domestic market and I still feel that again look the why country expressway.
[1801.36s -> 1804.36s]  But the other work that potentially has been put forward for shovel ready.
[1804.36s -> 1812.36s]  Even extending expressway down to PID that that's just all going to help the ease of domestic travel and we definitely see the push from self drive.
[1812.36s -> 1825.36s]  Obviously the motorhome and caravan association they are going to be another first leader and move her back into the region as well, which is fantastic so we're working with them and a traveler around trying to get more people back into why power.
[1825.36s -> 1840.36s]  I think again your geographic location your natural environment and also your event platforms hold you in a stronger position around obviously recovering compared to other parts of our region.
[1841.36s -> 1848.36s]  Okay, thanks very much for that you've done an awful lot of work and you've got a lot more in front of you I can see.
[1848.36s -> 1856.36s]  But that's great and if we've got no more queries I'll we have a recommendation do we have a mover please.
[1856.36s -> 1861.36s]  Thanks Marcus thanks clear all in favor please say aye.
[1862.36s -> 1871.36s]  Country no carried thanks very much Jason all the best thank you are relying on you thank you and thanks Sam good work.
[1871.36s -> 1886.36s]  Yes I see we have Mark sorry Mark Morgan with us yet and also Kelvin and Andrew there we'll get to you guys before long.
[1887.36s -> 1901.36s]  But Mark from CEO Hamilton Airport yeah the floor of yours and just like Jason on you've had a massive change to your business so yeah.
[1901.36s -> 1904.36s]  Let's see how you're going on.
[1904.36s -> 1911.36s]  Thanks Andrew and thanks for the opportunity welcome to all of the elected members.
[1911.36s -> 1916.36s]  Hopefully we've got a presentation coming up and that should be before you now.
[1916.36s -> 1922.36s]  Look today I've also got Scott Kendall my finance manager.
[1922.36s -> 1931.36s]  So Scott will deal with a couple of the finance slides and as most of what we have to talk you about is in the rules of finance.
[1932.36s -> 1947.36s]  Perhaps not quite the presentation I had intended to present a month ago but as we know a lot has changed and a massive amount has changed for route in the in the last three or four weeks.
[1948.36s -> 1967.36s]  So the presentation is is primarily and if we can stand move to the next slide is primarily around the COVID-19 response for our but I thought it was about eight or nine slides to key slides to take you through.
[1968.36s -> 1986.36s]  And I think what you'll see is how we built with the crisis what the implications have been for the group now and for the next 15 months and a summary that shared some some positive light at the end of the tunnel.
[1986.36s -> 1990.36s]  Thanks Sam if we move on.
[1990.36s -> 1998.36s]  The first point I think is useful to you've obviously received our six month interim results.
[1998.36s -> 2004.36s]  Some say you're only as good as your last results but sadly that's not the not quite the case today.
[2004.36s -> 2018.36s]  But look we were traveling extremely well very very good first six months and in fact on target for a record financial performance under any measure of our SRI for this this financial year.
[2018.36s -> 2043.36s]  But of course the net lead to our draft SRI that you've also received and that of course is now pretty much irrelevant and I see that you ironically have an appendix letter to my chair Barry Harris about about OSRI and as you can imagine we are working very quickly towards a revised SRI for the next three years.
[2044.36s -> 2050.36s]  Particularly the financials but also there'll be some narrative change and some priority changing as well.
[2050.36s -> 2063.36s]  We have as a say completed a very detailed 15 month forecast through the 30 June next year that will form of course now part of the year one of the of the SRI.
[2063.36s -> 2080.36s]  We have a presentation the rail board and myself has a presentation to all share holding councils in May and we by that stage will have finalized the new drafts.
[2080.36s -> 2088.36s]  So moving sorry moving on to the next slide.
[2088.36s -> 2104.36s]  I think now just looking at the impact and look very difficult to well it's very easy to explain in simple terms it's had a massive impact on the business but if I divided into these four areas that are before you.
[2104.36s -> 2133.36s]  So of course the first is the aeronautical business in New Zealand complete as you know suspension of flights so for us that was an immediate loss of income really from April but from the last week of March and along with our general aviation all three Harris the flight school basically you know 97 98% loss of our aeronautical income overnight.
[2133.36s -> 2155.36s]  Terminal close and we really operating as an emergency medical service only at the airport had the same impact on our on our property but in fact our property is our lifeline that I will come to but again really overnight impact on our tendencies we're quite a large landlord as you know and
[2155.36s -> 2173.36s]  but to date and Scott will talk a wee bit about this but to date we've had good support from our tenants but we're early days as we know into the next sort of three to six months as businesses work through how they're going to operate and survive during this process.
[2173.36s -> 2193.36s]  We've obviously suspended the terminal upgrade work and I'll talk to that a bit further on which of course was a major piece of work approximately 15 million dollars of of proposed work a hotel has been sorry if we can just go back to the previous slide Sam the hotel.
[2193.36s -> 2210.36s]  Impacted significantly as well fortunately during April we have it was taken over by Ministry of Health as a isolation facility it wasn't required it was a backup to the Auckland hotels.
[2210.36s -> 2224.36s]  Nonetheless we have received and we are receiving payment for the use of the hotel by the government but that ends really this week and from then on a difficult times ahead and we'll talk about that.
[2224.36s -> 2250.36s]  And obviously our people all my team are working remotely that's working very very well my sort of 11 or 12 on our immediate COVID team response but of course the cafe and store staff are at home unable to work and part of the government subsidy risk you 14 does remain on site at this point.
[2250.36s -> 2258.36s]  So that's really been the impact what have we really tried to do about if we could move to the next slide.
[2258.36s -> 2281.36s]  First of all we we very quickly leading into probably two weeks before we moved into level two and level three of before we even knew what that meant we had worked very closely with the board around a pandemic plan how we would operate the business and more importantly started to look at some scenario and modeling at that point.
[2281.36s -> 2295.36s]  Jason would have mentioned earlier on as board is such as China we're we're closing to tourism we also saw the writing on the ward on the wall for our own business.
[2295.36s -> 2324.36s]  So that plan was developed and approved by the board before we even went into lockdown we've completed second cost reductions in the business that's right across the business of its major cost reductions in our expense lines reductions pretty much across our business in terms of payroll anything up to a 20% reduction and the board have also taken a reduction in their director fees.
[2324.36s -> 2351.36s]  So we applied for and received the government wage subsidy across the group and with the hotel we worked through and are still working through with jet park but they've gone through a full restructuring exercise number of people have been made redundant and number have been retained under the government subsidy but we have a meeting later this week with jet park to look at stage two.
[2351.36s -> 2369.36s]  People Association that we're part of is doing a major piece of work with central government to try and see what support of any there are for airport companies that have been significantly picked as you know we are we are long term infrastructure owners and
[2369.36s -> 2379.36s]  quite significant capital to maintain the assets so there's a piece of work going on in that space.
[2379.36s -> 2385.36s]  Already covered the people we can move to the next slide.
[2385.36s -> 2414.36s]  The scenario modelling that I talk about there I think the point that I will that I will make here and come back to the end is that most airport companies particularly regionally airport companies are significantly hit and hit now we are fortunate that we made the decision five or six years ago that the board.
[2414.36s -> 2443.36s]  The leadership of John Spencer and then implemented by myself and my team with we have as you know di this by the airport company and that is I guess bought us time so we have completed a very conservative model for argument sake it assumes no in New Zealand activity of any of any meaningful sense before October this year.
[2443.36s -> 2460.36s]  No and then only a recovery of about 40% of passenger numbers through 2021 calendar year and well into 2022 before we have a positive event that really so what is.
